model_label,condition,n_attempted,n_valid,n_excluded,mirage_rate,recognition_rate,explicit_abstention_rate,hard_mirage_rate,soft_mirage_rate,confident_answer_rate,hedged_answer_rate
SmolVLM,implicit,200,190,10,1.0,0.0,0.005263157894736842,0.8578947368421053,0.07368421052631578,0.9157894736842105,0.07894736842105263
SmolVLM,middle,200,182,18,0.9725274725274725,0.027472527472527472,0.038461538461538464,0.7142857142857143,0.21428571428571427,0.9065934065934066,0.054945054945054944
SmolVLM,explicit,200,194,6,0.9175257731958762,0.08247422680412371,0.10309278350515463,0.7577319587628866,0.10309278350515463,0.845360824742268,0.05154639175257732
Qwen-3B,implicit,200,183,17,0.22404371584699453,0.7759562841530054,0.7923497267759563,0.10382513661202186,0.0273224043715847,0.12021857923497267,0.08743169398907104
Qwen-3B,middle,200,179,21,0.061452513966480445,0.9385474860335196,0.994413407821229,0.00558659217877095,0.0,0.00558659217877095,0.0
Qwen-3B,explicit,200,198,2,0.050505050505050504,0.9494949494949495,0.9595959595959596,0.03535353535353535,0.005050505050505051,0.04040404040404041,0.0
Qwen-7B,implicit,200,181,19,0.1878453038674033,0.8121546961325967,0.8950276243093923,0.049723756906077346,0.027624309392265192,0.06077348066298342,0.04419889502762431
Qwen-7B,middle,200,198,2,0.005050505050505051,0.9949494949494949,0.9949494949494949,0.0,0.0,0.0,0.005050505050505051
Qwen-7B,explicit,200,196,4,0.03571428571428571,0.9642857142857143,0.9693877551020408,0.02040816326530612,0.01020408163265306,0.030612244897959183,0.0
