model_label,risk_level,n_attempted,n_valid,n_unscorable,n_judge_parse_fail,n_run_error,mirage_count,mirage_rate,mirage_ci_low,mirage_ci_high,recognition_count,recognition_rate,recognition_ci_low,recognition_ci_high,explicit_abstention_count,explicit_abstention_rate,explicit_abstention_ci_low,explicit_abstention_ci_high,hedged_answer_count,hedged_answer_rate,hedged_answer_ci_low,hedged_answer_ci_high,confident_answer_count,confident_answer_rate,confident_answer_ci_low,confident_answer_ci_high,hard_mirage_count,hard_mirage_rate,hard_mirage_ci_low,hard_mirage_ci_high,soft_mirage_count,soft_mirage_rate,soft_mirage_ci_low,soft_mirage_ci_high
Qwen-3B,high,50,46,4,0,0,14,0.3043,0.1739,0.4348,32,0.6957,0.5652,0.8261,32,0.6957,0.5652,0.8261,6,0.1304,0.0435,0.2391,8,0.1739,0.0652,0.2826,7,0.1522,0.0435,0.2609,3,0.0652,0.0,0.1522
Qwen-3B,low,30,30,0,0,0,7,0.2333,0.1,0.4,23,0.7667,0.6,0.9,25,0.8333,0.6667,0.9333,1,0.0333,0.0,0.1,4,0.1333,0.0333,0.2667,4,0.1333,0.0333,0.2667,0,0.0,0.0,0.0
Qwen-3B,medium,120,107,13,0,0,20,0.1869,0.1215,0.2617,87,0.8131,0.7383,0.8785,88,0.8224,0.7477,0.8879,9,0.0841,0.0374,0.1402,10,0.0935,0.0467,0.1495,8,0.0748,0.028,0.1308,2,0.0187,0.0,0.0467
Qwen-7B,high,50,43,6,1,0,13,0.3023,0.1628,0.4419,30,0.6977,0.5581,0.8372,33,0.7674,0.6279,0.8837,3,0.0698,0.0,0.1628,7,0.1628,0.0698,0.2791,6,0.1395,0.0465,0.2558,2,0.0465,0.0,0.1163
Qwen-7B,low,30,30,0,0,0,3,0.1,0.0,0.2,27,0.9,0.8,1.0,30,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Qwen-7B,medium,120,108,11,1,0,18,0.1667,0.1019,0.2407,90,0.8333,0.7593,0.8981,99,0.9167,0.8611,0.963,5,0.0463,0.0093,0.0926,4,0.037,0.0093,0.0741,3,0.0278,0.0,0.0648,3,0.0278,0.0,0.0648
SmolVLM,high,50,48,2,0,0,48,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,0.125,0.0417,0.2292,42,0.875,0.7708,0.9583,38,0.7917,0.6667,0.8958,5,0.1042,0.0208,0.1875
SmolVLM,low,30,26,4,0,0,26,1.0,1.0,1.0,0,0.0,0.0,0.0,1,0.0385,0.0,0.1154,1,0.0385,0.0,0.1154,24,0.9231,0.8077,1.0,23,0.8846,0.7308,1.0,1,0.0385,0.0,0.1154
SmolVLM,medium,120,116,4,0,0,116,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,0.069,0.0259,0.1121,108,0.931,0.8879,0.9741,102,0.8793,0.819,0.931,8,0.069,0.0259,0.1207
