model_label,condition_clean,domain,category,n_attempted,n_valid,n_judge_parse_fail,n_unscorable,mirage_count,mirage_rate,recognition_count,recognition_rate,explicit_abstention_count,explicit_abstention_rate,hedged_answer_count,hedged_answer_rate,confident_answer_count,confident_answer_rate,hard_mirage_count,hard_mirage_rate,soft_mirage_count,soft_mirage_rate
Qwen-3B,explicit,medical,medical_chest_xray,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,medical,medical_chest_xray,10,8,0,2,2,0.25,6,0.75,5,0.625,2,0.25,1,0.125,1,0.125,1,0.125
Qwen-7B,explicit,medical,medical_chest_xray,10,9,0,1,1,0.1111111111111111,8,0.8888888888888888,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,medical,medical_dermatology,10,10,0,0,10,1.0,0,0.0,0,0.0,2,0.2,8,0.8,6,0.6,2,0.2
SmolVLM,explicit,medical,medical_dermatology,10,10,0,0,9,0.9,1,0.1,1,0.1,2,0.2,7,0.7,5,0.5,2,0.2
Qwen-3B,implicit,medical,medical_dermatology,10,10,0,0,4,0.4,6,0.6,7,0.7,1,0.1,2,0.2,2,0.2,0,0.0
Qwen-3B,explicit,medical,medical_dermatology,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,medical,medical_dermatology,10,9,0,1,2,0.2222222222222222,7,0.7777777777777778,8,0.8888888888888888,1,0.1111111111111111,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,medical,medical_dermatology,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,medical,medical_pathology,10,9,0,1,9,1.0,0,0.0,0,0.0,1,0.1111111111111111,8,0.8888888888888888,8,0.8888888888888888,1,0.1111111111111111
SmolVLM,explicit,medical,medical_pathology,10,10,0,0,10,1.0,0,0.0,0,0.0,1,0.1,9,0.9,7,0.7,3,0.3
Qwen-3B,implicit,medical,medical_pathology,10,8,0,2,0,0.0,8,1.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-3B,explicit,medical,medical_pathology,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,medical,medical_pathology,10,7,1,2,2,0.2857142857142857,5,0.7142857142857143,6,0.8571428571428571,0,0.0,1,0.14285714285714285,0,0.0,1,0.14285714285714285
Qwen-7B,explicit,medical,medical_pathology,10,10,0,0,1,0.1,9,0.9,9,0.9,0,0.0,1,0.1,0,0.0,1,0.1
SmolVLM,implicit,medical,medical_retinal,10,10,0,0,10,1.0,0,0.0,0,0.0,0,0.0,10,1.0,9,0.9,1,0.1
SmolVLM,explicit,medical,medical_retinal,10,10,0,0,8,0.8,2,0.2,2,0.2,0,0.0,8,0.8,8,0.8,0,0.0
Qwen-3B,implicit,medical,medical_retinal,10,9,0,1,4,0.4444444444444444,5,0.5555555555555556,5,0.5555555555555556,2,0.2222222222222222,2,0.2222222222222222,2,0.2222222222222222,1,0.1111111111111111
Qwen-3B,explicit,medical,medical_retinal,10,10,0,0,3,0.3,7,0.7,7,0.7,0,0.0,3,0.3,3,0.3,0,0.0
Qwen-7B,implicit,medical,medical_retinal,10,10,0,0,5,0.5,5,0.5,6,0.6,0,0.0,4,0.4,4,0.4,0,0.0
Qwen-7B,explicit,medical,medical_retinal,10,10,0,0,2,0.2,8,0.8,8,0.8,0,0.0,2,0.2,2,0.2,0,0.0
SmolVLM,implicit,ocr,ocr_handwriting,10,7,0,3,7,1.0,0,0.0,1,0.14285714285714285,1,0.14285714285714285,5,0.7142857142857143,5,0.7142857142857143,0,0.0
SmolVLM,explicit,ocr,ocr_handwriting,10,9,0,1,6,0.6666666666666666,3,0.3333333333333333,3,0.3333333333333333,0,0.0,6,0.6666666666666666,6,0.6666666666666666,0,0.0
Qwen-3B,implicit,ocr,ocr_handwriting,10,10,0,0,2,0.2,8,0.8,9,0.9,1,0.1,0,0.0,0,0.0,0,0.0
Qwen-3B,explicit,ocr,ocr_handwriting,10,10,0,0,1,0.1,9,0.9,9,0.9,0,0.0,1,0.1,1,0.1,0,0.0
Qwen-7B,implicit,ocr,ocr_handwriting,10,10,0,0,1,0.1,9,0.9,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,ocr,ocr_handwriting,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,ocr,ocr_license,10,10,0,0,10,1.0,0,0.0,0,0.0,0,0.0,10,1.0,9,0.9,1,0.1
SmolVLM,explicit,ocr,ocr_license,10,9,0,1,7,0.7777777777777778,2,0.2222222222222222,2,0.2222222222222222,0,0.0,7,0.7777777777777778,6,0.6666666666666666,1,0.1111111111111111
Qwen-3B,implicit,ocr,ocr_license,10,10,0,0,3,0.3,7,0.7,7,0.7,0,0.0,3,0.3,3,0.3,0,0.0
Qwen-3B,explicit,ocr,ocr_license,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,ocr,ocr_license,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,ocr,ocr_license,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,ocr,ocr_newspaper,10,9,0,1,9,1.0,0,0.0,0,0.0,0,0.0,9,1.0,9,1.0,0,0.0
SmolVLM,explicit,ocr,ocr_newspaper,10,9,0,1,8,0.8888888888888888,1,0.1111111111111111,1,0.1111111111111111,0,0.0,8,0.8888888888888888,6,0.6666666666666666,2,0.2222222222222222
Qwen-3B,implicit,ocr,ocr_newspaper,10,10,0,0,2,0.2,8,0.8,9,0.9,0,0.0,1,0.1,1,0.1,0,0.0
Qwen-3B,explicit,ocr,ocr_newspaper,10,10,0,0,1,0.1,9,0.9,9,0.9,0,0.0,1,0.1,1,0.1,0,0.0
Qwen-7B,implicit,ocr,ocr_newspaper,10,10,0,0,2,0.2,8,0.8,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,ocr,ocr_newspaper,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,scene,scene_crowds,10,10,0,0,10,1.0,0,0.0,0,0.0,2,0.2,8,0.8,8,0.8,1,0.1
SmolVLM,explicit,scene,scene_crowds,10,10,0,0,10,1.0,0,0.0,0,0.0,1,0.1,9,0.9,8,0.8,1,0.1
Qwen-3B,implicit,scene,scene_crowds,10,10,0,0,2,0.2,8,0.8,8,0.8,1,0.1,1,0.1,1,0.1,0,0.0
Qwen-3B,explicit,scene,scene_crowds,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,scene,scene_crowds,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,scene,scene_crowds,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,scene,scene_indoor,10,10,0,0,10,1.0,0,0.0,0,0.0,0,0.0,10,1.0,9,0.9,1,0.1
SmolVLM,explicit,scene,scene_indoor,10,10,0,0,10,1.0,0,0.0,1,0.1,0,0.0,9,0.9,8,0.8,1,0.1
Qwen-3B,implicit,scene,scene_indoor,10,10,0,0,1,0.1,9,0.9,9,0.9,0,0.0,1,0.1,1,0.1,0,0.0
Qwen-3B,explicit,scene,scene_indoor,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,scene,scene_indoor,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,scene,scene_indoor,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,scene,scene_traffic,10,10,0,0,10,1.0,0,0.0,0,0.0,1,0.1,9,0.9,9,0.9,0,0.0
SmolVLM,explicit,scene,scene_traffic,10,10,0,0,10,1.0,0,0.0,0,0.0,1,0.1,9,0.9,9,0.9,0,0.0
Qwen-3B,implicit,scene,scene_traffic,10,10,0,0,1,0.1,9,0.9,9,0.9,1,0.1,0,0.0,0,0.0,0,0.0
Qwen-3B,explicit,scene,scene_traffic,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,scene,scene_traffic,10,10,0,0,1,0.1,9,0.9,9,0.9,1,0.1,0,0.0,0,0.0,1,0.1
Qwen-7B,explicit,scene,scene_traffic,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,science,science_astronomy,10,9,0,1,9,1.0,0,0.0,0,0.0,0,0.0,9,1.0,9,1.0,0,0.0
SmolVLM,explicit,science,science_astronomy,10,9,0,1,9,1.0,0,0.0,1,0.1111111111111111,0,0.0,8,0.8888888888888888,8,0.8888888888888888,0,0.0
Qwen-3B,implicit,science,science_astronomy,10,10,0,0,3,0.3,7,0.7,7,0.7,1,0.1,2,0.2,1,0.1,1,0.1
Qwen-3B,explicit,science,science_astronomy,10,10,0,0,1,0.1,9,0.9,9,0.9,0,0.0,1,0.1,0,0.0,1,0.1
Qwen-7B,implicit,science,science_astronomy,10,8,0,2,4,0.5,4,0.5,4,0.5,2,0.25,2,0.25,1,0.125,2,0.25
