model_label,condition,n_attempted,n_valid,n_unscorable,n_judge_parse_fail,n_run_error,mirage_count,mirage_rate,mirage_ci_low,mirage_ci_high,recognition_count,recognition_rate,recognition_ci_low,recognition_ci_high,explicit_abstention_count,explicit_abstention_rate,explicit_abstention_ci_low,explicit_abstention_ci_high,hedged_answer_count,hedged_answer_rate,hedged_answer_ci_low,hedged_answer_ci_high,confident_answer_count,confident_answer_rate,confident_answer_ci_low,confident_answer_ci_high,hard_mirage_count,hard_mirage_rate,hard_mirage_ci_low,hard_mirage_ci_high,soft_mirage_count,soft_mirage_rate,soft_mirage_ci_low,soft_mirage_ci_high
Qwen-3B,explicit,200,198,1,1,0,10,0.0505,0.0202,0.0808,188,0.9495,0.9192,0.9798,190,0.9596,0.9293,0.9848,0,0.0,0.0,0.0,8,0.0404,0.0152,0.0707,7,0.0354,0.0101,0.0606,1,0.0051,0.0,0.0152
Qwen-3B,implicit,200,183,17,0,0,41,0.224,0.1639,0.2842,142,0.776,0.7158,0.8361,145,0.7923,0.7268,0.847,16,0.0874,0.0492,0.1311,22,0.1202,0.0765,0.1694,19,0.1038,0.0601,0.1475,5,0.0273,0.0055,0.0546
Qwen-7B,explicit,200,196,3,1,0,7,0.0357,0.0102,0.0612,189,0.9643,0.9388,0.9898,190,0.9694,0.9439,0.9898,0,0.0,0.0,0.0,6,0.0306,0.0102,0.0561,4,0.0204,0.0051,0.0408,2,0.0102,0.0,0.0255
Qwen-7B,implicit,200,181,17,2,0,34,0.1878,0.1326,0.2431,147,0.8122,0.7569,0.8674,162,0.895,0.8508,0.9337,8,0.0442,0.0166,0.0773,11,0.0608,0.0276,0.0994,9,0.0497,0.0221,0.0829,5,0.0276,0.0055,0.0552
SmolVLM,explicit,200,194,6,0,0,178,0.9175,0.8763,0.9536,16,0.0825,0.0464,0.1237,20,0.1031,0.0619,0.1495,10,0.0515,0.0206,0.0825,164,0.8454,0.7938,0.8969,147,0.7577,0.6959,0.8196,20,0.1031,0.0619,0.1443
SmolVLM,implicit,200,190,10,0,0,190,1.0,1.0,1.0,0,0.0,0.0,0.0,1,0.0053,0.0,0.0158,15,0.0789,0.0421,0.1158,174,0.9158,0.8737,0.9526,163,0.8579,0.8105,0.9053,14,0.0737,0.0368,0.1105
